time,droneId,x,y,vx,vy
1,1,86.5838,16.8325,-5.46652,10.933
1,2,16.8325,86.5838,10.933,-5.46652
1,3,85.9005,85.2173,-6.55983,-7.65313
1.01,0,16.248,16.9422,9.87707,10.9745
1.01,1,86.5289,16.9422,-5.48726,10.9745
1.01,2,16.9422,86.5289,10.9745,-5.48726
1.01,3,85.8347,85.1404,-6.58471,-7.68216
1.02,0,16.3471,17.0524,9.91355,11.0151
1.02,1,86.4738,17.0524,-5.50753,11.0151
1.02,2,17.0524,86.4738,11.0151,-5.50753
1.02,3,85.7686,85.0633,-6.60903,-7.71054
1.03,0,16.4466,17.1629,9.9492,11.0547
1.03,1,86.4185,17.1629,-5.52733,11.0547
1.03,2,17.1629,86.4185,11.0547,-5.52733
1.03,3,85.7023,84.986,-6.6328,-7.73827
1.04,0,16.5465,17.2738,9.98402,11.0934
1.04,1,86.3631,17.2738,-5.54668,11.0934
1.04,2,17.2738,86.3631,11.0934,-5.54668
1.04,3,85.6357,84.9083,-6.65602,-7.76535
1.05,0,16.6466,17.3852,10.018,11.1311
1.05,1,86.3074,17.3852,-5.56557,11.1311
1.05,2,17.3852,86.3074,11.1311,-5.56557
1.05,3,85.5689,84.8304,-6.67869,-7.7918
1.06,0,16.7472,17.4968,10.0512,11.168
1.06,1,86.2516,17.4968,-5.58401,11.168
1.06,2,17.4968,86.2516,11.168,-5.58401
1.06,3,85.5019,84.7522,-6.70082,-7.81762
1.07,0,16.848,17.6089,10.0836,11.204
1.07,1,86.1956,17.6089,-5.60201,11.204
1.07,2,17.6089,86.1956,11.204,-5.60201
1.07,3,85.4347,84.6738,-6.72242,-7.84282
1.08,0,16.9491,17.7213,10.1152,11.2391
1.08,1,86.1394,17.7213,-5.61957,11.2391
1.08,2,17.7213,86.1394,11.2391,-5.61957
1.08,3,85.3672,84.5951,-6.74348,-7.8674
1.09,0,17.0506,17.834,10.146,11.2734
1.09,1,86.083,17.834,-5.63669,11.2734
1.09,2,17.834,86.083,11.2734,-5.63669
1.09,3,85.2996,84.5162,-6.76403,-7.89137
1.1,0,17.1524,17.9471,10.1761,11.3068
1.1,1,86.0265,17.9471,-5.65338,11.3068
1.1,2,17.9471,86.0265,11.3068,-5.65338
1.1,3,85.2318,84.437,-6.78406,-7.91474
1.11,0,17.2544,18.0605,10.2054,11.3393
1.11,1,85.9698,18.0605,-5.66965,11.3393
1.11,2,18.0605,85.9698,11.3393,-5.66965
1.11,3,85.1637,84.3577,-6.80358,-7.93751
1.12,0,17.3568,18.1742,10.2339,11.371
1.12,1,85.9129,18.1742,-5.68549,11.371
1.12,2,18.1742,85.9129,11.371,-5.68549
1.12,3,85.0955,84.2781,-6.82259,-7.95969
1.13,0,17.4594,18.2882,10.2617,11.4018
1.13,1,85.8559,18.2882,-5.70092,11.4018
1.13,2,18.2882,85.8559,11.4018,-5.70092
1.13,3,85.0271,84.1983,-6.8411,-7.98129
1.14,0,17.5623,18.4025,10.2887,11.4319
1.14,1,85.7987,18.4025,-5.71593,11.4319
1.14,2,18.4025,85.7987,11.4319,-5.71593
1.14,3,84.9585,84.1182,-6.85912,-8.0023
1.15,0,17.6654,18.5171,10.315,11.4611
1.15,1,85.7414,18.5171,-5.73054,11.4611
1.15,2,18.5171,85.7414,11.4611,-5.73054
1.15,3,84.8897,84.038,-6.87664,-8.02275
1.16,0,17.7688,18.632,10.3405,11.4895
